username,tweet,topics,sentiment
Megha Bose,Nothing has improved. Police presence is almost non-existent at night. #StopHarassment,StopHarassment,negative
Isha Kumar,The recent campaigns are really raising awareness. Excellent work. #SafetyFirst,SafetyFirst,positive
Anjali Sharma,Feeling positive about the recent changes in street lighting #women #WomenSafety,WomenSafety,positive
Isha Reddy,There are discussions about increasing night patrols. #PublicTransport,PublicTransport,neutral
Bhavna Joshi,I can't believe how bad the situation is in some neighborhoods after 8 PM. #WomenEmpowerment,WomenEmpowerment,negative
Bhavna Sharma,Nothing has improved. Police presence is almost non-existent at night. #StopHarassment,StopHarassment,negative
Megha Patel,The recent campaigns are really raising awareness. Excellent work. #StopHarassment,StopHarassment,positive
Deepa Patel,Love the new app feature that lets me share my live location instantly. #SafetyFirst,SafetyFirst,positive
Aditi Jain,Why are the streets so poorly lit? It makes me worry every time I go out. #WomenEmpowerment,WomenEmpowerment,negative
Falguni Das,The new helpline for women is very responsive and helpful! #PublicTransport,PublicTransport,positive
Gauri Das,Feeling positive about the recent changes in street lighting #women #SafeCity,SafeCity,positive
Jyoti Sharma,I feel much more comfortable taking the metro now due to increased security. #SafeCity,SafeCity,positive
Jyoti Sharma,Harassment in public buses needs to stop. This is the worst. #SafeCity,SafeCity,negative
Falguni Das,"Finally, safe transport options for late night workers are available! #SafetyFirst",SafetyFirst,positive
Kriti Iyer,The new helpline for women is very responsive and helpful! #NightSafety,NightSafety,positive
Vidya Malhotra,Reading an article about the new guidelines for transport safety. #NightSafety,NightSafety,neutral
Vidya Iyer,I can't believe how bad the situation is in some neighborhoods after 8 PM. #WomenEmpowerment,WomenEmpowerment,negative
Isha Reddy,CCTV cameras are installed but most of them don't even work! Sad. #NightSafety,NightSafety,negative
Megha Joshi,Waste of money if the emergency buttons don't function properly. #StopHarassment,StopHarassment,negative
Gauri Reddy,It is still very unsafe to walk alone on these dimly lit streets. #WomenSafety,WomenSafety,negative
Megha Patel,Why are the streets so poorly lit? It makes me worry every time I go out. #WomenEmpowerment,WomenEmpowerment,negative
Chitra Singh,Reporting harassment is still a painful process. We need better systems. #SafeCity,SafeCity,negative
Gauri Das,Self defense workshops are making a real difference. #StopHarassment,StopHarassment,positive
Kavya Gupta,A new survey on safety was published today. #WomenEmpowerment,WomenEmpowerment,neutral
Bhavna Sharma,I feel much more comfortable taking the metro now due to increased security. #WomenSafety,WomenSafety,positive
Bhavna Joshi,Saw many CCTV cameras installed around my neighborhood today. Good job! #StopHarassment,StopHarassment,positive
Deepa Iyer,Why are the streets so poorly lit? It makes me worry every time I go out. #PublicTransport,PublicTransport,negative
Diya Das,There are discussions about increasing night patrols. #WomenSafety,WomenSafety,neutral
Aarti Gupta,Self defense workshops are making a real difference. #SafetyFirst,SafetyFirst,positive
Urvi Singh,I feel much more comfortable taking the metro now due to increased security. #SafetyFirst,SafetyFirst,positive
Deepa Patel,A new survey on safety was published today. #NightSafety,NightSafety,neutral
Jyoti Sharma,Love the new app feature that lets me share my live location instantly. #WomenSafety,WomenSafety,positive
Anjali Sharma,CCTV cameras are installed but most of them don't even work! Sad. #StopHarassment,StopHarassment,negative
Megha Malhotra,Love the new app feature that lets me share my live location instantly. #WomenSafety,WomenSafety,positive
Isha Kumar,Reading an article about the new guidelines for transport safety. #SafeCity,SafeCity,neutral
Vidya Iyer,A new survey on safety was published today. #StopHarassment,StopHarassment,neutral
Gauri Das,Government announces new budget for city infrastructure and safety. #NightSafety,NightSafety,neutral
Kavya Gupta,The recent campaigns are really raising awareness. Excellent work. #NightSafety,NightSafety,positive
Neha Singh,The recent campaigns are really raising awareness. Excellent work. #WomenEmpowerment,WomenEmpowerment,positive
Diya Bose,Feeling positive about the recent changes in street lighting #women #PublicTransport,PublicTransport,positive
Deepa Iyer,A new survey on safety was published today. #SafetyFirst,SafetyFirst,neutral
Jyoti Sharma,Why are the streets so poorly lit? It makes me worry every time I go out. #SafeCity,SafeCity,negative
Megha Patel,Self defense workshops are making a real difference. #StopHarassment,StopHarassment,positive
Hina Rao,Love the new app feature that lets me share my live location instantly. #StopHarassment,StopHarassment,positive
Bhavna Desai,"Finally, safe transport options for late night workers are available! #WomenEmpowerment",WomenEmpowerment,positive
Megha Joshi,The recent campaigns are really raising awareness. Excellent work. #SafetyFirst,SafetyFirst,positive
Aarti Gupta,I can't believe how bad the situation is in some neighborhoods after 8 PM. #SafetyFirst,SafetyFirst,negative
Deepa Patel,CCTV cameras are installed but most of them don't even work! Sad. #StopHarassment,StopHarassment,negative
Chitra Reddy,"Finally, safe transport options for late night workers are available! #NightSafety",NightSafety,positive
Neha Verma,Self defense workshops are making a real difference. #StopHarassment,StopHarassment,positive
Sneha Rao,Reporting harassment is still a painful process. We need better systems. #SafeCity,SafeCity,negative
Chitra Singh,Love the new app feature that lets me share my live location instantly. #SafeCity,SafeCity,positive
Isha Reddy,Self defense workshops are making a real difference. #PublicTransport,PublicTransport,positive
Pooja Malhotra,A new survey on safety was published today. #SafetyFirst,SafetyFirst,neutral
Megha Verma,Nothing has improved. Police presence is almost non-existent at night. #StopHarassment,StopHarassment,negative
Gauri Reddy,Reporting harassment is still a painful process. We need better systems. #NightSafety,NightSafety,negative
Chitra Singh,There are discussions about increasing night patrols. #SafetyFirst,SafetyFirst,neutral
Aditi Jain,Why are the streets so poorly lit? It makes me worry every time I go out. #SafeCity,SafeCity,negative
Megha Verma,Waste of money if the emergency buttons don't function properly. #SafeCity,SafeCity,negative
Kavya Rao,The recent campaigns are really raising awareness. Excellent work. #WomenEmpowerment,WomenEmpowerment,positive
Kavya Sharma,Self defense workshops are making a real difference. #SafetyFirst,SafetyFirst,positive
Megha Bose,Why are the streets so poorly lit? It makes me worry every time I go out. #StopHarassment,StopHarassment,negative
Aditi Jain,The new helpline for women is very responsive and helpful! #SafeCity,SafeCity,positive
Bhavna Desai,There are discussions about increasing night patrols. #SafeCity,SafeCity,neutral
Bhavna Desai,Why are the streets so poorly lit? It makes me worry every time I go out. #PublicTransport,PublicTransport,negative
Gauri Das,The recent campaigns are really raising awareness. Excellent work. #WomenEmpowerment,WomenEmpowerment,positive
Gauri Reddy,I can't believe how bad the situation is in some neighborhoods after 8 PM. #WomenEmpowerment,WomenEmpowerment,negative
Deepa Patel,Saw many CCTV cameras installed around my neighborhood today. Good job! #SafeCity,SafeCity,positive
Kavya Rao,"Finally, safe transport options for late night workers are available! #WomenEmpowerment",WomenEmpowerment,positive
Deepa Gupta,Feeling positive about the recent changes in street lighting #women #WomenSafety,WomenSafety,positive
Aarti Malhotra,There are discussions about increasing night patrols. #WomenSafety,WomenSafety,neutral
Pooja Malhotra,Why are the streets so poorly lit? It makes me worry every time I go out. #SafetyFirst,SafetyFirst,negative
Isha Reddy,The recent campaigns are really raising awareness. Excellent work. #SafeCity,SafeCity,positive
Vidya Malhotra,Feeling positive about the recent changes in street lighting #women #NightSafety,NightSafety,positive
Deepa Iyer,Harassment in public buses needs to stop. This is the worst. #SafetyFirst,SafetyFirst,negative
Gauri Reddy,Saw many CCTV cameras installed around my neighborhood today. Good job! #NightSafety,NightSafety,positive
Bhavna Desai,Love the new app feature that lets me share my live location instantly. #SafetyFirst,SafetyFirst,positive
Isha Kumar,I can't believe how bad the situation is in some neighborhoods after 8 PM. #StopHarassment,StopHarassment,negative
Falguni Das,Reporting harassment is still a painful process. We need better systems. #SafeCity,SafeCity,negative
Falguni Reddy,Great initiative by the local police to patrol streets at night. #WomenSafety,WomenSafety,positive
Megha Patel,Reading an article about the new guidelines for transport safety. #PublicTransport,PublicTransport,neutral
Vidya Iyer,Harassment in public buses needs to stop. This is the worst. #WomenEmpowerment,WomenEmpowerment,negative
Bhavna Desai,It is still very unsafe to walk alone on these dimly lit streets. #SafetyFirst,SafetyFirst,negative
Hina Rao,Self defense workshops are making a real difference. #PublicTransport,PublicTransport,positive
Deepa Patel,Government announces new budget for city infrastructure and safety. #PublicTransport,PublicTransport,neutral
Diya Das,Nothing has improved. Police presence is almost non-existent at night. #StopHarassment,StopHarassment,negative
Gauri Das,Saw many CCTV cameras installed around my neighborhood today. Good job! #PublicTransport,PublicTransport,positive
Tanvi Reddy,CCTV cameras are installed but most of them don't even work! Sad. #StopHarassment,StopHarassment,negative
Diya Bose,Reporting harassment is still a painful process. We need better systems. #StopHarassment,StopHarassment,negative
Tanvi Reddy,Reporting harassment is still a painful process. We need better systems. #StopHarassment,StopHarassment,negative
Bhavna Sharma,Love the new app feature that lets me share my live location instantly. #WomenEmpowerment,WomenEmpowerment,positive
Chitra Iyer,Harassment in public buses needs to stop. This is the worst. #SafeCity,SafeCity,negative
Neha Verma,Saw many CCTV cameras installed around my neighborhood today. Good job! #WomenEmpowerment,WomenEmpowerment,positive
Diya Bose,Waste of money if the emergency buttons don't function properly. #PublicTransport,PublicTransport,negative
Aarti Gupta,The new helpline for women is very responsive and helpful! #SafetyFirst,SafetyFirst,positive
Deepa Iyer,Feeling positive about the recent changes in street lighting #women #SafetyFirst,SafetyFirst,positive
Deepa Patel,The recent campaigns are really raising awareness. Excellent work. #SafeCity,SafeCity,positive
Pooja Malhotra,Reporting harassment is still a painful process. We need better systems. #NightSafety,NightSafety,negative
Megha Patel,Self defense workshops are making a real difference. #StopHarassment,StopHarassment,positive
Aditi Jain,Attended a seminar regarding personal safety. #SafeCity,SafeCity,neutral
